PassengerId,Survived,Sex,Age,Parch,Fare,Name_length,Has_Cabin,FamilySize,IsAlone,Pclass_1,Pclass_2,Pclass_3,Royalty,Officer,Miss,Mrs,Mr,Master,Embarked_S,Embarked_C,Embarked_Q,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_U
1,0,1,1,0,0,23,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,1,0,2,0,3,51,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
3,1,0,1,0,1,22,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,1,0,2,0,3,44,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,2,0,1,24,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
6,0,1,1,0,1,16,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
7,0,1,3,0,3,23,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
8,0,1,0,1,2,30,0,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
9,1,0,1,2,1,49,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
10,1,0,0,0,2,35,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
11,1,0,0,1,2,31,1,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12,1,0,3,0,2,24,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13,0,1,1,0,1,30,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
14,0,1,2,5,3,27,0,7,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
15,0,0,0,0,0,36,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,1,0,3,0,2,32,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
17,0,1,0,1,2,20,0,6,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
18,1,1,1,0,1,28,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
19,0,0,1,0,2,55,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
20,1,0,2,0,0,23,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
21,0,1,2,0,2,20,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
22,1,1,2,0,1,21,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
23,1,0,0,0,1,27,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24,1,1,1,0,3,28,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
25,0,0,0,1,2,29,0,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
26,1,0,2,5,3,57,0,7,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
27,0,1,0,0,0,23,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
28,0,1,1,2,3,30,1,6,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
29,1,0,1,0,0,29,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30,0,1,2,0,0,19,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
31,0,1,2,0,2,24,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
32,1,0,2,0,3,46,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
33,1,0,1,0,0,24,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
34,0,1,5,0,1,21,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
35,0,1,1,0,3,23,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
36,0,1,2,0,3,30,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
37,1,1,1,0,0,16,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
38,0,1,1,0,1,24,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
39,0,0,1,0,2,34,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
40,1,0,0,0,1,27,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
41,0,0,2,0,1,46,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
42,0,0,1,0,2,56,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
43,0,1,2,0,0,19,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
44,1,0,0,2,3,40,0,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
45,1,0,1,0,0,29,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
46,0,1,1,0,1,24,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
47,0,1,2,0,2,17,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
48,1,0,2,0,0,25,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
49,0,1,2,0,2,19,0,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
50,0,0,1,0,2,45,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
51,0,1,0,1,3,26,0,6,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
52,0,1,1,0,0,28,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
53,1,0,3,0,3,40,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
54,1,0,1,0,2,50,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
55,0,1,5,1,3,30,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
56,1,1,1,0,3,17,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
57,1,0,1,0,1,17,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
58,0,1,1,0,0,19,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
59,1,0,0,2,2,28,0,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,0,1,0,2,3,34,0,8,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
61,0,1,1,0,0,21,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
62,1,0,2,0,3,19,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
63,0,1,2,0,3,27,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
64,0,1,0,2,2,21,0,6,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
65,0,1,2,0,2,21,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
66,1,1,2,1,2,24,0,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
67,1,0,1,0,1,28,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
68,0,1,1,0,1,24,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
69,1,0,1,2,1,31,0,7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
70,0,1,1,0,1,17,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
71,0,1,1,0,1,26,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
72,0,0,0,2,3,26,0,8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
73,0,1,1,0,3,20,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
74,0,1,1,0,2,27,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
75,1,1,1,0,3,13,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
76,0,1,1,0,0,23,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
77,0,1,1,0,0,17,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
78,0,1,2,0,1,24,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
79,1,1,0,2,2,29,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
80,1,0,1,0,1,24,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
81,0,1,1,0,1,20,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
82,1,1,1,0,1,27,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
83,1,0,0,0,0,30,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
84,0,1,1,0,3,23,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
85,1,0,1,0,1,19,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
86,1,0,2,0,2,55,0,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
87,0,1,0,3,3,22,0,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
88,0,1,2,0,1,29,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
89,1,0,1,2,3,26,1,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
90,0,1,1,0,1,22,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
91,0,1,1,0,1,20,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
92,0,1,1,0,0,26,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
93,0,1,2,0,3,27,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
94,0,1,1,2,2,23,0,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
95,0,1,3,0,0,17,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
96,0,1,1,0,1,27,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
97,0,1,5,0,3,25,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
98,1,1,1,1,3,31,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
99,1,0,2,1,2,36,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
100,0,1,2,0,2,17,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
101,0,0,1,0,0,23,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
102,0,1,1,0,0,32,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
103,0,1,1,1,3,25,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
104,0,1,2,0,1,26,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
105,0,1,2,0,1,30,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
106,0,1,1,0,0,21,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
107,1,0,1,0,0,32,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
108,1,1,2,0,0,22,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
109,0,1,2,0,0,15,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
110,1,0,1,0,2,19,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
111,0,1,2,0,3,30,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
112,0,0,0,0,2,20,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
113,0,1,1,0,1,22,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
114,0,0,1,0,1,23,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
115,0,0,1,0,2,21,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
116,0,1,1,0,1,21,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
117,0,1,5,0,0,20,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
118,0,1,1,0,2,31,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
119,0,1,1,1,3,24,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
120,0,0,0,2,3,33,0,7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
121,0,1,1,0,3,27,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
122,0,1,2,0,1,26,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
123,0,1,1,0,2,20,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
124,1,0,1,0,1,19,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
125,0,1,3,1,3,27,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
126,1,1,0,0,1,28,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
127,0,1,2,0,0,19,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
128,1,1,1,0,0,25,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
129,1,0,1,1,2,17,1,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
130,0,1,2,0,0,18,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
131,0,1,2,0,0,20,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
132,0,1,1,0,0,30,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
133,0,0,2,0,2,46,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
134,1,0,1,0,2,45,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
135,0,1,1,0,1,30,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
136,0,1,1,0,2,18,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
137,1,0,1,2,2,28,1,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
138,0,1,2,0,3,27,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
139,0,1,0,0,1,19,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
140,0,1,1,0,3,18,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
141,0,0,2,2,2,29,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
142,1,0,1,0,0,24,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
143,1,0,1,0,2,52,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
144,0,1,1,0,0,19,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
145,0,1,1,0,1,26,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
146,0,1,1,1,3,28,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
147,1,1,1,0,0,44,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
148,0,0,0,2,3,32,0,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
149,0,1,2,2,2,40,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
150,0,1,2,0,1,33,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
151,0,1,3,0,1,26,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
152,1,0,1,0,3,33,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
153,0,1,3,0,1,16,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
154,0,1,2,2,2,31,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
155,0,1,2,0,0,21,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
156,0,1,3,1,3,27,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
157,1,0,0,0,0,32,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
158,0,1,1,0,1,15,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
159,0,1,1,0,1,19,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
160,0,1,2,2,3,26,0,11,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
161,0,1,2,1,2,24,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
162,1,0,2,0,2,50,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
163,0,1,1,0,0,26,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
164,0,1,1,0,1,15,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
165,0,1,0,1,3,28,0,6,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
166,1,1,0,2,2,47,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
167,1,0,2,1,3,38,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
168,0,0,2,4,2,47,0,6,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
169,0,1,2,0,2,19,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
170,0,1,1,0,3,13,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
171,0,1,3,0,3,25,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
172,0,1,0,1,2,20,0,6,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
173,1,0,0,1,1,28,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
174,0,1,1,0,1,25,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
175,0,1,3,0,2,23,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
176,0,1,1,1,0,22,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
